word,POS,NEG,value,prop
국민,0.666666667,0.0,POS,0.666666667
국민학생,1.0,0.0,POS,1.0
국방,1.0,0.0,POS,1.0
국보,1.0,0.0,POS,1.0
국제,1.0,0.0,POS,1.0
군,0.0,1.0,NEG,1.0
군국주의,0.0,1.0,NEG,1.0
군도,0.0,1.0,NEG,1.0
군살,0.5,0.5,NEG,0.5
굳,1.0,0.0,POS,1.0
굳이,0.0,1.0,NEG,1.0
굵,1.0,0.0,POS,1.0
굵직,0.0,1.0,NEG,1.0
굶주리,0.0,1.0,NEG,1.0
굶주림,1.0,0.0,POS,1.0
굿,1.0,0.0,POS,1.0
궁상,0.0,1.0,NEG,1.0
궁전,1.0,0.0,POS,1.0
궁중,0.0,1.0,NEG,1.0
궁핍,0.0,1.0,NEG,1.0
권,1.0,0.0,POS,1.0
권고,1.0,0.0,POS,1.0
권력,0.0,1.0,NEG,1.0
권력욕,0.0,1.0,NEG,1.0
권위,1.0,0.0,POS,1.0
권위주의,0.0,1.0,NEG,1.0
권하,1.0,0.0,POS,1.0
궤변,0.0,1.0,NEG,1.0
귀,0.0,0.5,NEG,0.5
귀엽,0.0,1.0,NEG,1.0
규명,1.0,0.0,POS,1.0
규모,1.0,0.0,POS,1.0
규정,1.0,0.0,POS,1.0
규제,0.0,1.0,NEG,1.0
균,1.0,0.0,POS,1.0
균형,0.0,1.0,NEG,1.0
그,0.538461538,0.23076923100000002,POS,0.538461538
그것,0.0,0.666666667,NEG,0.666666667
그나마,0.0,0.0,None,1.0
그냥,0.0,1.0,NEG,1.0
그늘,0.5,0.5,NEG,0.5
그대로,0.6,0.4,POS,0.6
그동안,1.0,0.0,POS,1.0
그때,1.0,0.0,POS,1.0
그래,0.5,0.0,None,0.5
그래서,0.0,0.0,None,1.0
그러,0.0,1.0,NEG,1.0
그러나,0.042553191,0.042553191,None,0.914893617
그러니까,0.0,1.0,NEG,1.0
그러므로,0.0,0.0,NEUT,1.0
그런,0.25,0.25,COMP,0.25
그런데,0.0,0.0,None,1.0
그럼,0.0,0.0,None,1.0
그렇,0.0,0.0,None,1.0
그렇지만,1.0,0.0,POS,1.0
그룹,1.0,0.0,POS,1.0
그르,0.0,1.0,NEG,1.0
그르치,0.0,1.0,NEG,1.0
그리,0.25,0.75,NEG,0.75
그리고,0.5,0.5,NEG,0.5
그리하여,0.0,1.0,NEG,1.0
그림,0.5,0.5,NEG,0.5
그분,0.0,1.0,NEG,1.0
그야말로,0.0,0.0,None,1.0
그저,0.0,0.5,NEG,0.5
그지없,0.0,1.0,NEG,1.0
그치,0.333333333,0.666666667,NEG,0.666666667
극,0.5,0.0,COMP,0.5
극단,0.0,1.0,NEG,1.0
극대,0.0,1.0,NEG,1.0
극복,0.666666667,0.333333333,POS,0.666666667
극심,0.0,1.0,NEG,1.0
극장,1.0,0.0,POS,1.0
극찬,1.0,0.0,POS,1.0
극히,0.0,1.0,NEG,1.0
근근이,0.0,1.0,NEG,1.0
근데,0.0,0.0,None,1.0
근로,0.0,1.0,NEG,1.0
근면,1.0,0.0,POS,1.0
근본,1.0,0.0,POS,1.0
근성,1.0,0.0,POS,1.0
근시안,0.0,1.0,NEG,1.0
근절,0.5,0.5,NEG,0.5
근현대,1.0,0.0,POS,1.0
글,0.5,0.5,NEG,0.5
글라스울,1.0,0.0,POS,1.0
글쎄,0.0,0.0,None,1.0
글씨,0.0,1.0,NEG,1.0
금물,0.0,1.0,NEG,1.0
금세,0.0,0.0,None,1.0
금융,0.0,1.0,NEG,1.0
금하,0.0,1.0,NEG,1.0
급,1.0,0.0,POS,1.0
급격히,0.0,1.0,NEG,1.0
